categoria,atributo,valor,atributo_complementario,complemento
Computadores,procesador_principal,AMD A8-3550MX APU,nucleos_procesador,4
Computadores,procesador_principal,AMD A8-3550MX APU,hilos_procesador,4
Computadores,procesador_principal,AMD A8-3800 APU,nucleos_procesador,4
Computadores,procesador_principal,AMD A8-3800 APU,hilos_procesador,4
Computadores,procesador_principal,AMD A8-3820 APU,nucleos_procesador,4
Computadores,procesador_principal,AMD A8-3820 APU,hilos_procesador,4
Computadores,procesador_principal,AMD A8-3850 APU,nucleos_procesador,4
Computadores,procesador_principal,AMD A8-3850 APU,hilos_procesador,4
Computadores,procesador_principal,AMD A8-3870K APU,nucleos_procesador,4
Computadores,procesador_principal,AMD A8-3870K APU,hilos_procesador,4
Computadores,procesador_principal,AMD A8-6410 APU,nucleos_procesador,4
Computadores,procesador_principal,AMD A8-6410 APU,hilos_procesador,4
Computadores,procesador_principal,AMD A8-7410 APU,nucleos_procesador,4
Computadores,procesador_principal,AMD A8-7410 APU,hilos_procesador,4
Computadores,procesador_principal,AMD A9-9820,nucleos_procesador,8
Computadores,procesador_principal,AMD A9-9820,hilos_procesador,8
Computadores,procesador_principal,AMD Athlon 1500+,nucleos_procesador,1
Computadores,procesador_principal,AMD Athlon 1500+,hilos_procesador,1
Computadores,procesador_principal,AMD Athlon 1640B,nucleos_procesador,1
Computadores,procesador_principal,AMD Athlon 1640B,hilos_procesador,1
Computadores,procesador_principal,AMD Athlon 200GE,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 200GE,hilos_procesador,4
Computadores,procesador_principal,AMD Athlon 220GE,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 220GE,hilos_procesador,4
Computadores,procesador_principal,AMD Athlon 240GE,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 240GE,hilos_procesador,4
Computadores,procesador_principal,AMD Athlon 2650e,nucleos_procesador,1
Computadores,procesador_principal,AMD Athlon 2650e,hilos_procesador,1
Computadores,procesador_principal,AMD Athlon 2800+,nucleos_procesador,1
Computadores,procesador_principal,AMD Athlon 2800+,hilos_procesador,1
Computadores,procesador_principal,AMD Athlon 2850e,nucleos_procesador,1
Computadores,procesador_principal,AMD Athlon 2850e,hilos_procesador,1
Computadores,procesador_principal,AMD Athlon 3000G,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 3000G,hilos_procesador,4
Computadores,procesador_principal,AMD Athlon 300GE,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 300GE,hilos_procesador,4
Computadores,procesador_principal,AMD Athlon 300U,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 300U,hilos_procesador,4
Computadores,procesador_principal,AMD Athlon 320GE,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 320GE,hilos_procesador,4
Computadores,procesador_principal,AMD Athlon 5000 Dual-Core,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 5000 Dual-Core,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 5150 APU,nucleos_procesador,4
Computadores,procesador_principal,AMD Athlon 5150 APU,hilos_procesador,4
Computadores,procesador_principal,AMD Athlon 5200 Dual-Core,nucleos_procesador,2
Computadores,procesador_principal,AMD Athlon 5200 Dual-Core,hilos_procesador,2
Computadores,procesador_principal,AMD Athlon 5350 APU,nucleos_procesador,4
Computadores,procesador_principal,AMD Athlon 5350 APU,hilos_procesador,4
Computadores,procesador_principal,AMD Athlon 5370 APU,nucleos_procesador,4
Computadores,procesador_principal,AMD Athlon 5370 APU,hilos_procesador,4
Computadores,procesador_principal,AMD Athlon 64 2000+,nucleos_procesador,1
